template,prompt,target,meta_json
tower_cleared_to_land,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> JBU9500, <WIND> 220 at 7, <RWY> 32, <DIST> 11mi [Pilot]: Greensboro Tower, <F#> JBU9500, <DIST> 11 miles out.","[ATC]: JBU9500, wind 220 at 7, Runway 32 cleared to land.","{""callsign"": ""JBU9500"", ""pilot_alt"": 6000, ""assign_alt"": 4000, ""dist_nm"": 11.1, ""dist_mi"": 11, ""rwy"": ""32"", ""hs_rwy"": ""23R"", ""wind_dir"": 220, ""wind_spd"": 7, ""gate"": ""C3"", ""route"": ""Echo, Bravo""}"
ground_taxi_hold_short,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> JBU4657, <GATE> B6, <RWY> 14, <TXWY> Charlie, Alpha, <HSRWY> 32 [Pilot]: Greensboro Ground, <F#> JBU4657, at Gate <GATE> B6, request taxi to Runway <RWY> 14.","[ATC]: JBU4657, taxi to Runway 14 via Charlie, Alpha, hold short of Runway 32.","{""callsign"": ""JBU4657"", ""pilot_alt"": 9000, ""assign_alt"": 4000, ""dist_nm"": 8.1, ""dist_mi"": 8, ""rwy"": ""14"", ""hs_rwy"": ""32"", ""wind_dir"": 260, ""wind_spd"": 12, ""gate"": ""B6"", ""route"": ""Charlie, Alpha""}"
ground_taxi_to_gate,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> N7092N, <TXWY> Charlie, Echo, <GATE> C5 [Pilot]: Greensboro Ground, <F#> N7092N, clear of active, request taxi to Gate <GATE> C5.","[ATC]: N7092N, taxi to Gate C5 via Charlie, Echo.","{""callsign"": ""N7092N"", ""pilot_alt"": 7000, ""assign_alt"": 5000, ""dist_nm"": 22.4, ""dist_mi"": 15, ""rwy"": ""05L"", ""hs_rwy"": ""05R"", ""wind_dir"": 250, ""wind_spd"": 8, ""gate"": ""C5"", ""route"": ""Charlie, Echo""}"
ground_taxi_to_gate,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> SWA6047, <TXWY> Golf, Echo, Kilo, <GATE> C1 [Pilot]: Greensboro Ground, <F#> SWA6047, clear of active, request taxi to Gate <GATE> C1.","[ATC]: SWA6047, taxi to Gate C1 via Golf, Echo, Kilo.","{""callsign"": ""SWA6047"", ""pilot_alt"": 8000, ""assign_alt"": 4000, ""dist_nm"": 9.5, ""dist_mi"": 10, ""rwy"": ""32"", ""hs_rwy"": ""05R"", ""wind_dir"": 200, ""wind_spd"": 11, ""gate"": ""C1"", ""route"": ""Golf, Echo, Kilo""}"
ground_taxi_to_gate,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> FFT6940, <TXWY> Delta, Lima, <GATE> B6 [Pilot]: Greensboro Ground, <F#> FFT6940, clear of active, request taxi to Gate <GATE> B6.","[ATC]: FFT6940, taxi to Gate B6 via Delta, Lima.","{""callsign"": ""FFT6940"", ""pilot_alt"": 9000, ""assign_alt"": 6000, ""dist_nm"": 22.0, ""dist_mi"": 15, ""rwy"": ""05R"", ""hs_rwy"": ""05L"", ""wind_dir"": 190, ""wind_spd"": 10, ""gate"": ""B6"", ""route"": ""Delta, Lima""}"
ground_taxi_to_gate,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> FFT5674, <TXWY> Lima, Delta, Golf, <GATE> A3 [Pilot]: Greensboro Ground, <F#> FFT5674, clear of active, request taxi to Gate <GATE> A3.","[ATC]: FFT5674, taxi to Gate A3 via Lima, Delta, Golf.","{""callsign"": ""FFT5674"", ""pilot_alt"": 6000, ""assign_alt"": 4000, ""dist_nm"": 8.6, ""dist_mi"": 9, ""rwy"": ""23L"", ""hs_rwy"": ""23R"", ""wind_dir"": 200, ""wind_spd"": 5, ""gate"": ""A3"", ""route"": ""Lima, Delta, Golf""}"
approach_descend_expect_ils,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> DAL1772, <ALT> 3000ft, <RWY> 23L, <DIST> 18.2NM [Pilot]: Greensboro Approach, <F#> DAL1772, level 6000 feet, inbound for landing.","[ATC]: DAL1772, radar contact, descend and maintain 3000, expect ILS Runway 23L.","{""callsign"": ""DAL1772"", ""pilot_alt"": 6000, ""assign_alt"": 3000, ""dist_nm"": 18.2, ""dist_mi"": 15, ""rwy"": ""23L"", ""hs_rwy"": ""14"", ""wind_dir"": 300, ""wind_spd"": 5, ""gate"": ""C5"", ""route"": ""Hotel, Charlie, Delta""}"
ground_taxi_to_gate,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> DAL7873, <TXWY> Hotel, Lima, <GATE> C5 [Pilot]: Greensboro Ground, <F#> DAL7873, clear of active, request taxi to Gate <GATE> C5.","[ATC]: DAL7873, taxi to Gate C5 via Hotel, Lima.","{""callsign"": ""DAL7873"", ""pilot_alt"": 8000, ""assign_alt"": 3000, ""dist_nm"": 17.7, ""dist_mi"": 15, ""rwy"": ""14"", ""hs_rwy"": ""32"", ""wind_dir"": 210, ""wind_spd"": 13, ""gate"": ""C5"", ""route"": ""Hotel, Lima""}"
ground_taxi_hold_short,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> AAL1426, <GATE> D2, <RWY> 23R, <TXWY> Bravo, Golf, Charlie, <HSRWY> 32 [Pilot]: Greensboro Ground, <F#> AAL1426, at Gate <GATE> D2, request taxi to Runway <RWY> 23R.","[ATC]: AAL1426, taxi to Runway 23R via Bravo, Golf, Charlie, hold short of Runway 32.","{""callsign"": ""AAL1426"", ""pilot_alt"": 9000, ""assign_alt"": 6000, ""dist_nm"": 15.1, ""dist_mi"": 15, ""rwy"": ""23R"", ""hs_rwy"": ""32"", ""wind_dir"": 320, ""wind_spd"": 4, ""gate"": ""D2"", ""route"": ""Bravo, Golf, Charlie""}"
ground_taxi_to_gate,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> JBU1451, <TXWY> Delta, Kilo, <GATE> C5 [Pilot]: Greensboro Ground, <F#> JBU1451, clear of active, request taxi to Gate <GATE> C5.","[ATC]: JBU1451, taxi to Gate C5 via Delta, Kilo.","{""callsign"": ""JBU1451"", ""pilot_alt"": 7000, ""assign_alt"": 3000, ""dist_nm"": 15.6, ""dist_mi"": 15, ""rwy"": ""32"", ""hs_rwy"": ""23R"", ""wind_dir"": 210, ""wind_spd"": 14, ""gate"": ""C5"", ""route"": ""Delta, Kilo""}"
ground_taxi_to_gate,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> UAL1877, <TXWY> Kilo, Bravo, <GATE> D4 [Pilot]: Greensboro Ground, <F#> UAL1877, clear of active, request taxi to Gate <GATE> D4.","[ATC]: UAL1877, taxi to Gate D4 via Kilo, Bravo.","{""callsign"": ""UAL1877"", ""pilot_alt"": 9000, ""assign_alt"": 4000, ""dist_nm"": 19.0, ""dist_mi"": 15, ""rwy"": ""14"", ""hs_rwy"": ""05L"", ""wind_dir"": 250, ""wind_spd"": 16, ""gate"": ""D4"", ""route"": ""Kilo, Bravo""}"
tower_cleared_to_land,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> FFT7516, <WIND> 240 at 6, <RWY> 32, <DIST> 13mi [Pilot]: Greensboro Tower, <F#> FFT7516, <DIST> 13 miles out.","[ATC]: FFT7516, wind 240 at 6, Runway 32 cleared to land.","{""callsign"": ""FFT7516"", ""pilot_alt"": 9000, ""assign_alt"": 4000, ""dist_nm"": 13.1, ""dist_mi"": 13, ""rwy"": ""32"", ""hs_rwy"": ""05L"", ""wind_dir"": 240, ""wind_spd"": 6, ""gate"": ""B4"", ""route"": ""Bravo, Charlie, Delta""}"
ground_taxi_hold_short,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> N7260C, <GATE> A1, <RWY> 23R, <TXWY> Juliet, Foxtrot, Delta, <HSRWY> 05L [Pilot]: Greensboro Ground, <F#> N7260C, at Gate <GATE> A1, request taxi to Runway <RWY> 23R.","[ATC]: N7260C, taxi to Runway 23R via Juliet, Foxtrot, Delta, hold short of Runway 05L.","{""callsign"": ""N7260C"", ""pilot_alt"": 10000, ""assign_alt"": 4000, ""dist_nm"": 24.5, ""dist_mi"": 15, ""rwy"": ""23R"", ""hs_rwy"": ""05L"", ""wind_dir"": 260, ""wind_spd"": 9, ""gate"": ""A1"", ""route"": ""Juliet, Foxtrot, Delta""}"
ground_taxi_hold_short,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> SWA2719, <GATE> D4, <RWY> 14, <TXWY> Alpha, Hotel, <HSRWY> 23L [Pilot]: Greensboro Ground, <F#> SWA2719, at Gate <GATE> D4, request taxi to Runway <RWY> 14.","[ATC]: SWA2719, taxi to Runway 14 via Alpha, Hotel, hold short of Runway 23L.","{""callsign"": ""SWA2719"", ""pilot_alt"": 6000, ""assign_alt"": 4000, ""dist_nm"": 10.9, ""dist_mi"": 11, ""rwy"": ""14"", ""hs_rwy"": ""23L"", ""wind_dir"": 210, ""wind_spd"": 12, ""gate"": ""D4"", ""route"": ""Alpha, Hotel""}"
approach_descend_expect_ils,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> SWA4911, <ALT> 3000ft, <RWY> 14, <DIST> 21.7NM [Pilot]: Greensboro Approach, <F#> SWA4911, level 8000 feet, inbound for landing.","[ATC]: SWA4911, radar contact, descend and maintain 3000, expect ILS Runway 14.","{""callsign"": ""SWA4911"", ""pilot_alt"": 8000, ""assign_alt"": 3000, ""dist_nm"": 21.7, ""dist_mi"": 15, ""rwy"": ""14"", ""hs_rwy"": ""05L"", ""wind_dir"": 250, ""wind_spd"": 5, ""gate"": ""C5"", ""route"": ""Juliet, Alpha""}"
ground_taxi_hold_short,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> JBU5421, <GATE> B4, <RWY> 14, <TXWY> Foxtrot, Bravo, <HSRWY> 05R [Pilot]: Greensboro Ground, <F#> JBU5421, at Gate <GATE> B4, request taxi to Runway <RWY> 14.","[ATC]: JBU5421, taxi to Runway 14 via Foxtrot, Bravo, hold short of Runway 05R.","{""callsign"": ""JBU5421"", ""pilot_alt"": 10000, ""assign_alt"": 3000, ""dist_nm"": 7.6, ""dist_mi"": 8, ""rwy"": ""14"", ""hs_rwy"": ""05R"", ""wind_dir"": 280, ""wind_spd"": 16, ""gate"": ""B4"", ""route"": ""Foxtrot, Bravo""}"
tower_cleared_to_land,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> JBU7354, <WIND> 210 at 10, <RWY> 05L, <DIST> 7mi [Pilot]: Greensboro Tower, <F#> JBU7354, <DIST> 7 miles out.","[ATC]: JBU7354, wind 210 at 10, Runway 05L cleared to land.","{""callsign"": ""JBU7354"", ""pilot_alt"": 7000, ""assign_alt"": 3000, ""dist_nm"": 7.1, ""dist_mi"": 7, ""rwy"": ""05L"", ""hs_rwy"": ""32"", ""wind_dir"": 210, ""wind_spd"": 10, ""gate"": ""A1"", ""route"": ""Echo, Juliet, Lima""}"
ground_taxi_hold_short,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> DAL3925, <GATE> B4, <RWY> 05R, <TXWY> Juliet, Delta, <HSRWY> 23R [Pilot]: Greensboro Ground, <F#> DAL3925, at Gate <GATE> B4, request taxi to Runway <RWY> 05R.","[ATC]: DAL3925, taxi to Runway 05R via Juliet, Delta, hold short of Runway 23R.","{""callsign"": ""DAL3925"", ""pilot_alt"": 8000, ""assign_alt"": 4000, ""dist_nm"": 14.9, ""dist_mi"": 15, ""rwy"": ""05R"", ""hs_rwy"": ""23R"", ""wind_dir"": 180, ""wind_spd"": 16, ""gate"": ""B4"", ""route"": ""Juliet, Delta""}"
tower_cleared_to_land,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> UAL203, <WIND> 200 at 12, <RWY> 23L, <DIST> 15mi [Pilot]: Greensboro Tower, <F#> UAL203, <DIST> 15 miles out.","[ATC]: UAL203, wind 200 at 12, Runway 23L cleared to land.","{""callsign"": ""UAL203"", ""pilot_alt"": 6000, ""assign_alt"": 3000, ""dist_nm"": 17.2, ""dist_mi"": 15, ""rwy"": ""23L"", ""hs_rwy"": ""14"", ""wind_dir"": 200, ""wind_spd"": 12, ""gate"": ""B2"", ""route"": ""Charlie, Golf, Echo""}"
ground_taxi_hold_short,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> DAL4222, <GATE> C1, <RWY> 23R, <TXWY> Bravo, Golf, <HSRWY> 05L [Pilot]: Greensboro Ground, <F#> DAL4222, at Gate <GATE> C1, request taxi to Runway <RWY> 23R.","[ATC]: DAL4222, taxi to Runway 23R via Bravo, Golf, hold short of Runway 05L.","{""callsign"": ""DAL4222"", ""pilot_alt"": 9000, ""assign_alt"": 3000, ""dist_nm"": 23.8, ""dist_mi"": 15, ""rwy"": ""23R"", ""hs_rwy"": ""05L"", ""wind_dir"": 220, ""wind_spd"": 9, ""gate"": ""C1"", ""route"": ""Bravo, Golf""}"
approach_descend_expect_ils,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> UAL5238, <ALT> 4000ft, <RWY> 05R, <DIST> 10.9NM [Pilot]: Greensboro Approach, <F#> UAL5238, level 9000 feet, inbound for landing.","[ATC]: UAL5238, radar contact, descend and maintain 4000, expect ILS Runway 05R.","{""callsign"": ""UAL5238"", ""pilot_alt"": 9000, ""assign_alt"": 4000, ""dist_nm"": 10.9, ""dist_mi"": 11, ""rwy"": ""05R"", ""hs_rwy"": ""23L"", ""wind_dir"": 290, ""wind_spd"": 10, ""gate"": ""D4"", ""route"": ""Alpha, Echo, Kilo""}"
ground_taxi_to_gate,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> N1356D, <TXWY> Hotel, Alpha, Echo, <GATE> A5 [Pilot]: Greensboro Ground, <F#> N1356D, clear of active, request taxi to Gate <GATE> A5.","[ATC]: N1356D, taxi to Gate A5 via Hotel, Alpha, Echo.","{""callsign"": ""N1356D"", ""pilot_alt"": 6000, ""assign_alt"": 3000, ""dist_nm"": 14.0, ""dist_mi"": 14, ""rwy"": ""23L"", ""hs_rwy"": ""05R"", ""wind_dir"": 250, ""wind_spd"": 7, ""gate"": ""A5"", ""route"": ""Hotel, Alpha, Echo""}"
ground_taxi_to_gate,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> UAL4322, <TXWY> Charlie, Golf, Juliet, <GATE> D4 [Pilot]: Greensboro Ground, <F#> UAL4322, clear of active, request taxi to Gate <GATE> D4.","[ATC]: UAL4322, taxi to Gate D4 via Charlie, Golf, Juliet.","{""callsign"": ""UAL4322"", ""pilot_alt"": 9000, ""assign_alt"": 5000, ""dist_nm"": 16.9, ""dist_mi"": 15, ""rwy"": ""23L"", ""hs_rwy"": ""05L"", ""wind_dir"": 240, ""wind_spd"": 10, ""gate"": ""D4"", ""route"": ""Charlie, Golf, Juliet""}"
approach_descend_expect_ils,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> ASA7971, <ALT> 6000ft, <RWY> 23R, <DIST> 20.7NM [Pilot]: Greensboro Approach, <F#> ASA7971, level 10000 feet, inbound for landing.","[ATC]: ASA7971, radar contact, descend and maintain 6000, expect ILS Runway 23R.","{""callsign"": ""ASA7971"", ""pilot_alt"": 10000, ""assign_alt"": 6000, ""dist_nm"": 20.7, ""dist_mi"": 15, ""rwy"": ""23R"", ""hs_rwy"": ""23L"", ""wind_dir"": 330, ""wind_spd"": 10, ""gate"": ""A3"", ""route"": ""Hotel, Juliet""}"
approach_descend_expect_ils,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> ASA4513, <ALT> 3000ft, <RWY> 05L, <DIST> 8.2NM [Pilot]: Greensboro Approach, <F#> ASA4513, level 8000 feet, inbound for landing.","[ATC]: ASA4513, radar contact, descend and maintain 3000, expect ILS Runway 05L.","{""callsign"": ""ASA4513"", ""pilot_alt"": 8000, ""assign_alt"": 3000, ""dist_nm"": 8.2, ""dist_mi"": 8, ""rwy"": ""05L"", ""hs_rwy"": ""23L"", ""wind_dir"": 210, ""wind_spd"": 10, ""gate"": ""C3"", ""route"": ""Charlie, Hotel""}"
ground_taxi_hold_short,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> JBU2735, <GATE> C1, <RWY> 05L, <TXWY> Golf, Foxtrot, <HSRWY> 05R [Pilot]: Greensboro Ground, <F#> JBU2735, at Gate <GATE> C1, request taxi to Runway <RWY> 05L.","[ATC]: JBU2735, taxi to Runway 05L via Golf, Foxtrot, hold short of Runway 05R.","{""callsign"": ""JBU2735"", ""pilot_alt"": 6000, ""assign_alt"": 4000, ""dist_nm"": 14.0, ""dist_mi"": 14, ""rwy"": ""05L"", ""hs_rwy"": ""05R"", ""wind_dir"": 240, ""wind_spd"": 16, ""gate"": ""C1"", ""route"": ""Golf, Foxtrot""}"
tower_cleared_to_land,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> JBU1150, <WIND> 310 at 11, <RWY> 23R, <DIST> 9mi [Pilot]: Greensboro Tower, <F#> JBU1150, <DIST> 9 miles out.","[ATC]: JBU1150, wind 310 at 11, Runway 23R cleared to land.","{""callsign"": ""JBU1150"", ""pilot_alt"": 6000, ""assign_alt"": 3000, ""dist_nm"": 8.8, ""dist_mi"": 9, ""rwy"": ""23R"", ""hs_rwy"": ""14"", ""wind_dir"": 310, ""wind_spd"": 11, ""gate"": ""A3"", ""route"": ""Golf, Foxtrot""}"
approach_descend_expect_ils,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> ASA2694, <ALT> 5000ft, <RWY> 14, <DIST> 6.5NM [Pilot]: Greensboro Approach, <F#> ASA2694, level 6000 feet, inbound for landing.","[ATC]: ASA2694, radar contact, descend and maintain 5000, expect ILS Runway 14.","{""callsign"": ""ASA2694"", ""pilot_alt"": 6000, ""assign_alt"": 5000, ""dist_nm"": 6.5, ""dist_mi"": 6, ""rwy"": ""14"", ""hs_rwy"": ""23R"", ""wind_dir"": 210, ""wind_spd"": 8, ""gate"": ""B4"", ""route"": ""Kilo, Juliet, Delta""}"
ground_taxi_hold_short,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> UAL6388, <GATE> C3, <RWY> 23R, <TXWY> Bravo, Charlie, Juliet, <HSRWY> 05L [Pilot]: Greensboro Ground, <F#> UAL6388, at Gate <GATE> C3, request taxi to Runway <RWY> 23R.","[ATC]: UAL6388, taxi to Runway 23R via Bravo, Charlie, Juliet, hold short of Runway 05L.","{""callsign"": ""UAL6388"", ""pilot_alt"": 6000, ""assign_alt"": 4000, ""dist_nm"": 24.4, ""dist_mi"": 15, ""rwy"": ""23R"", ""hs_rwy"": ""05L"", ""wind_dir"": 310, ""wind_spd"": 7, ""gate"": ""C3"", ""route"": ""Bravo, Charlie, Juliet""}"
ground_taxi_to_gate,"[Instruction]: You are ATC Ground Control. Provide taxi to gate instructions. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Gate <GATE> [GATE] via <TXWY> [ROUTE]. [Scenario]: <F#> AAL5360, <TXWY> Bravo, Foxtrot, <GATE> B2 [Pilot]: Greensboro Ground, <F#> AAL5360, clear of active, request taxi to Gate <GATE> B2.","[ATC]: AAL5360, taxi to Gate B2 via Bravo, Foxtrot.","{""callsign"": ""AAL5360"", ""pilot_alt"": 8000, ""assign_alt"": 4000, ""dist_nm"": 16.7, ""dist_mi"": 15, ""rwy"": ""14"", ""hs_rwy"": ""23L"", ""wind_dir"": 310, ""wind_spd"": 5, ""gate"": ""B2"", ""route"": ""Bravo, Foxtrot""}"
ground_taxi_hold_short,"[Instruction]: You are ATC Ground Control. Issue taxi instructions and include a hold short restriction when required. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], taxi to Runway <RWY> [RUNWAY] via <TXWY> [ROUTE], hold short of Runway <HSRWY> [RUNWAY]. [Scenario]: <F#> JBU7430, <GATE> C5, <RWY> 23R, <TXWY> Delta, Juliet, Alpha, <HSRWY> 05R [Pilot]: Greensboro Ground, <F#> JBU7430, at Gate <GATE> C5, request taxi to Runway <RWY> 23R.","[ATC]: JBU7430, taxi to Runway 23R via Delta, Juliet, Alpha, hold short of Runway 05R.","{""callsign"": ""JBU7430"", ""pilot_alt"": 10000, ""assign_alt"": 3000, ""dist_nm"": 18.5, ""dist_mi"": 15, ""rwy"": ""23R"", ""hs_rwy"": ""05R"", ""wind_dir"": 310, ""wind_spd"": 5, ""gate"": ""C5"", ""route"": ""Delta, Juliet, Alpha""}"
tower_cleared_to_land,"[Instruction]: You are ATC Tower Control. Issue a landing clearance with wind. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], wind <WIND> [DIR] at [SPD], Runway <RWY> [RUNWAY] cleared to land. [Scenario]: <F#> SWA8280, <WIND> 310 at 7, <RWY> 32, <DIST> 15mi [Pilot]: Greensboro Tower, <F#> SWA8280, <DIST> 15 miles out.","[ATC]: SWA8280, wind 310 at 7, Runway 32 cleared to land.","{""callsign"": ""SWA8280"", ""pilot_alt"": 10000, ""assign_alt"": 3000, ""dist_nm"": 15.3, ""dist_mi"": 15, ""rwy"": ""32"", ""hs_rwy"": ""14"", ""wind_dir"": 310, ""wind_spd"": 7, ""gate"": ""C3"", ""route"": ""Alpha, Charlie, Golf""}"
approach_descend_expect_ils,"[Instruction]: You are ATC Approach Control. Acknowledge the inbound call and assign a descent clearance. Respond with ONE ATC radio line only. Output template: (ATC): <F#> [CALLSIGN], radar contact, descend and maintain <NEW_ALT> [ALT], expect ILS Runway <RWY> [RUNWAY]. [Scenario]: <F#> DAL3806, <ALT> 4000ft, <RWY> 32, <DIST> 9.6NM [Pilot]: Greensboro Approach, <F#> DAL3806, level 7000 feet, inbound for landing.","[ATC]: DAL3806, radar contact, descend and maintain 4000, expect ILS Runway 32.","{""callsign"": ""DAL3806"", ""pilot_alt"": 7000, ""assign_alt"": 4000, ""dist_nm"": 9.6, ""dist_mi"": 10, ""rwy"": ""32"", ""hs_rwy"": ""23L"", ""wind_dir"": 180, ""wind_spd"": 9, ""gate"": ""A1"", ""route"": ""Bravo, Juliet""}"
